Name,Chance to leave,Effect
Amalgamation,25%,"After the Amalgamation's master deals damage with an attack or spell, this minion deals damage to a random enemy equal to 5% of its master's highest stat multiplied by the number of minions it has."
Animated Gem,25%,"After the Animated Gem's master manually Casts a spell, this minion Casts one of its master's Spell Gems as well, chosen randomly."
Animated Weapon,25%,"When the Animated Weapon's master Attacks, it deals additional damage equal to the highest total stat from all of its Artifact's Stat Slots."
Asmodeus,35%,"When Asmodeus's master Attacks, it always deals critical damage, cannot be dodged, and damages all other enemies for 50% less damage. This minion is a Greater Demon. Demons are never granted by effects that generate random minions."
Beelzebub,35%,"When Beelzebub's master kills an enemy, it gains a random Greater Demon. This minion is a Greater Demon. Demons are never granted by effects that generate random minions."
Belphegor,35%,"When Belphegor's master Casts a single-target spell, it targets all the creatures fighting on the target's side. This minion is a Greater Demon. Demons are never granted by effects that generate random minions."
Brim Fiends,5%,"When this minion's master Attacks, it sacrifices each Brim Fiends to increase its damage by 50% per stack. Maximum of 9 stacks. This minion is a Lesser Demon. Demons are never granted by effects that generate random minions."
Chaos Satyrs,5%,"After this minion's master Defends or Provokes, it sacrifices each Chaos Satyrs to deal damage equal to 15% of its highest stat per stack. Maximum of 9 stacks. This minion is a Lesser Demon. Demons are never granted by effects that generate random minions."
Conquest,25%,"After Conquest's master manually Casts a spell, it grants all your creatures a random buff."
Death,25%,"At the start of Death's master's turn, it has a chance to kill the enemy with the lowest Health. The chance is increased based on how low the enemy's Health is."
Dire Wolves,25%,"After this minion's master attacks, each Dire Wolves deals damage to the target equal to 30% of its Speed. Maximum of 5 Stacks."
Doppelganger,25%,The Doppelganger's master has a 25% chance to take an extra turn.
Famine,25%,"After Famine's master Attacks, it decreases the target's Maximum Health by an amount equal to 30% of the damage dealt."
Fire Imps,5%,"When this minion's master Casts a spell, it sacrifices each Fire Imps to increase its potency by 30% per stack. Maximum of 9 stacks. This minion is a Lesser Demon. Demons are never granted by effects that generate random minions."
Illusion,25%,"This Illusion's master's post-action effects (on-attack, on-cast, and so on) activate 2 additional times."
Leviathan,35%,"When Leviathan's master kills an enemy, it gains 5 stacks of each Lesser Demon. This minion is a Greater Demon. Demons are never granted by effects that generate random minions."
Lucifer,35%,"At the start of Lucifer's master's turn, it Attacks random enemies 3 times. This minion is a Greater Demon. Demons are never granted by effects that generate random minions."
Mammon,35%,"When Mammon's master takes damage, the damage is reduced by 50% and it gains Shelled. This minion is a Greater Demon. Demons are never granted by effects that generate random minions."
Microbots,25%,"At the end of this minion's master's turn, each Microbots deals damage to a random enemy equal to 50% of its Intelligence. Maximum of 9 Stacks."
Satanachia,35%,"At the end of Satanachia's master's turn, it Casts the last 3 spells creatures Cast in the current battle. This minion is a Greater Demon. Demons are never granted by effects that generate random minions."
Spiderlings,25%,"After this minion's master takes damage from an enemy, each of its Spiderlings explode, dealing damage to the enemy equal to 50% of the master's Current Health. Maximum of 9 stacks."
Torun Junior,0%,Torun Junior SHOOTS LASERS AND !@#$.
Unstable Horror,25%,"This minion's master has 5% more stats for each Unstable Horror it has. After this minion's master Defends or Provokes, it deals damage to all enemies equal to 10% of its master's highest stat for each stack of Unstable Horror it has. Maximum of 9 stacks."
War,25%,"After War's master is damaged, it deals damage to the enemy equal to 50% of the damage taken."
Writhelings,25%,"After this minion's master takes damage from an attack or spell, each Writhelings afflicts a random enemy with a random debuff. Maximum of 5 stacks."
Zombies,25%,"At the start of this minion's master's turn, each Zombies deals damage to a random enemy equal to 50% of its Attack. Maximum of 9 stacks."
